id file duration transcription
train-clean-100-103-1240-0000 train-clean-100/103/1240/103-1240-0000.flac 14085.0 "chapter one missus rachel lynde is surprised missus rachel lynde lived just where the avonlea main road dipped down into a little hollow fringed with alders and ladies eardrops and traversed by a brook"
train-clean-100-103-1240-0001 train-clean-100/103/1240/103-1240-0001.flac 15945.0 "that had its source away back in the woods of the old cuthbert place it was reputed to be an intricate headlong brook in its earlier course through those woods with dark secrets of pool and cascade but by the time it reached lynde's hollow it was a quiet well conducted little stream"
train-clean-100-103-1240-0012 train-clean-100/103/1240/103-1240-0012.flac 15190.0 "had it been any other man in avonlea missus rachel deftly putting this and that together might have given a pretty good guess as to both questions but matthew so rarely went from home that it must be something pressing and unusual which was taking him"
train-clean-100-103-1240-0023 train-clean-100/103/1240/103-1240-0023.flac 12150.0 "one could have eaten a meal off the ground without overbrimming the proverbial peck of dirt missus rachel rapped smartly at the kitchen door and stepped in when bidden to do so the kitchen at green gables was a cheerful apartment"
train-clean-100-103-1240-0026 train-clean-100/103/1240/103-1240-0026.flac 8335.0 "and here she sat now knitting and the table behind her was laid for supper missus rachel before she had fairly closed the door"
train-clean-100-103-1240-0033 train-clean-100/103/1240/103-1240-0033.flac 14415.0 "matthew went to bright river we're getting a little boy from an orphan asylum in nova scotia and he's coming on the train tonight if marilla had said that matthew had gone to bright river to meet a kangaroo from australia missus rachel could not have been more astonished"
train-clean-100-103-1240-0041 train-clean-100/103/1240/103-1240-0041.flac 13510.0 "they may be all right i'm not saying they're not but no london street arabs for me i said give me a native born at least there'll be a risk no matter who we get but i'll feel easier in my mind and sleep sounder at nights if we get a born canadian"
train-clean-100-103-1240-0050 train-clean-100/103/1240/103-1240-0050.flac 14025.0 "and then nova scotia is right close to the island it isn't as if we were getting him from england or the states he can't be much different from ourselves well i hope it will turn out all right said missus rachel in a tone that plainly indicated her painful doubts"
train-clean-100-103-1241-0007 train-clean-100/103/1241/103-1241-0007.flac 15145.0 "and since sitting and waiting was the only thing to do just then she sat and waited with all her might and main matthew encountered the stationmaster locking up the ticket office preparatory to going home for supper and asked him if the five thirty train would soon be along"
train-clean-100-103-1241-0018 train-clean-100/103/1241/103-1241-0018.flac 9435.0 "i suppose you are mister matthew cuthbert of green gables she said in a peculiarly clear sweet voice i'm very glad to see you i was beginning to be afraid you weren't coming for me"
